dropout_0,dropout_1,dropout_2,dropout_3,dropout_4,dropout_5,lrate,num_layers,reg_0,reg_1,reg_2,reg_3,reg_4,reg_5,score,tuner/bracket,tuner/epochs,tuner/initial_epoch,tuner/round,units_0,units_1,units_2,units_3,units_4,units_5
0.0,0.05,0.2,0.0,0.2,0.15000000000000002,0.01,4,8.099999999999995e-05,6.799999999999997e-05,0.00010299999999900001,6.699999999999999e-05,8.599999999999994e-05,9.49999999999999e-05,0.7124000191688531,2,3,0,0,128,640,256.0,640.0,640.0,512.0
0.0,0.25,0.25,0.1,0.05,0.25,0.008,4,0.000104999999999,7.899999999999994e-05,7.299999999999997e-05,8.399999999999994e-05,8.499999999999994e-05,7.799999999999994e-05,0.700349986553192,2,3,0,0,640,640,256.0,384.0,512.0,128.0
0.1,0.15000000000000002,0.35000000000000003,0.2,0.25,0.2,0.005,5,6.5e-05,8.399999999999994e-05,7.899999999999994e-05,8.899999999999993e-05,7.499999999999995e-05,8.699999999999993e-05,0.7055500149726861,2,3,0,0,512,256,384.0,256.0,512.0,128.0
0.05,0.1,0.2,0.1,0.1,0.1,0.001,3,8.299999999999994e-05,8.599999999999994e-05,7.699999999999996e-05,0.00010599999999900001,6.1e-05,6.3e-05,0.7555999755859371,2,7,3,1,128,256,384.0,256.0,512.0,256.0
0.05,0.2,0.05,0.30000000000000004,0.15000000000000002,0.30000000000000004,0.005,6,7.199999999999996e-05,0.000104999999999,7.199999999999996e-05,7.099999999999996e-05,9.699999999999989e-05,0.00010799999999900001,0.718299984931945,2,7,3,1,128,512,128.0,128.0,384.0,128.0
0.15000000000000002,0.15000000000000002,0.30000000000000004,0.2,0.15000000000000002,0.35000000000000003,0.005,6,7.399999999999997e-05,9.89999999999999e-05,7.699999999999996e-05,8.599999999999994e-05,9.999999999999988e-05,6.699999999999999e-05,0.7131500244140621,2,7,3,1,256,256,640.0,384.0,512.0,256.0
0.05,0.1,0.2,0.1,0.1,0.1,0.001,3,8.299999999999994e-05,8.599999999999994e-05,7.699999999999996e-05,0.00010599999999900001,6.1e-05,6.3e-05,0.773999989032745,2,20,7,2,128,256,384.0,256.0,512.0,256.0
0.05,0.2,0.05,0.30000000000000004,0.15000000000000002,0.30000000000000004,0.005,6,7.199999999999996e-05,0.000104999999999,7.199999999999996e-05,7.099999999999996e-05,9.699999999999989e-05,0.00010799999999900001,0.7375500202178951,2,20,7,2,128,512,128.0,128.0,384.0,128.0
0.05,0.35000000000000003,0.2,0.25,0.25,0.25,0.009000000000000001,4,7.499999999999995e-05,6.2e-05,0.00010199999999900001,9.19999999999999e-05,0.00010699999999900001,9.599999999999992e-05,0.711300015449523,1,7,0,0,128,128,640.0,384.0,256.0,256.0
0.15000000000000002,0.0,0.05,0.05,0.30000000000000004,0.35000000000000003,0.006,3,0.000104999999999,0.00010699999999900001,8.899999999999993e-05,9.999999999999988e-05,9.799999999999989e-05,7.599999999999996e-05,0.7281000018119811,1,7,0,0,256,384,512.0,128.0,512.0,512.0
0.0,0.0,0.2,0.30000000000000004,0.05,0.05,0.002,4,8.499999999999994e-05,9.799999999999989e-05,7.099999999999996e-05,6.1e-05,0.000100999999999,9.49999999999999e-05,0.743200004100799,1,7,0,0,512,384,256.0,384.0,512.0,384.0
0.0,0.1,0.05,0.35000000000000003,0.2,0.2,0.003,3,6.2e-05,8.999999999999992e-05,6.799999999999997e-05,6.799999999999997e-05,0.000108999999999,6.899999999999997e-05,0.7462999820709221,1,7,0,0,256,128,128.0,384.0,512.0,512.0
0.05,0.15000000000000002,0.30000000000000004,0.30000000000000004,0.1,0.30000000000000004,0.008,4,6.999999999999998e-05,8.299999999999994e-05,7.799999999999994e-05,8.999999999999992e-05,6.599999999999998e-05,0.00010299999999900001,0.708899974822998,1,7,0,0,512,512,512.0,512.0,128.0,384.0
0.25,0.25,0.0,0.30000000000000004,0.2,0.15000000000000002,0.005,3,0.00010299999999900001,8.299999999999994e-05,6.699999999999999e-05,7.899999999999994e-05,0.00010699999999900001,6.2e-05,0.7264000177383421,1,7,0,0,512,384,256.0,384.0,512.0,512.0
0.0,0.1,0.05,0.35000000000000003,0.2,0.2,0.003,3,6.2e-05,8.999999999999992e-05,6.799999999999997e-05,6.799999999999997e-05,0.000108999999999,6.899999999999997e-05,0.7598500251770021,1,20,7,1,256,128,128.0,384.0,512.0,512.0
0.0,0.0,0.2,0.30000000000000004,0.05,0.05,0.002,4,8.499999999999994e-05,9.799999999999989e-05,7.099999999999996e-05,6.1e-05,0.000100999999999,9.49999999999999e-05,0.7617499828338621,1,20,7,1,512,384,256.0,384.0,512.0,384.0
0.25,0.15000000000000002,0.25,0.1,0.05,0.1,0.003,5,6.799999999999997e-05,8.699999999999993e-05,7.099999999999996e-05,8.099999999999995e-05,8.399999999999994e-05,8.199999999999993e-05,0.742250025272369,0,20,0,0,128,512,384.0,512.0,256.0,512.0
0.30000000000000004,0.15000000000000002,0.2,0.15000000000000002,0.05,0.15000000000000002,0.006,5,6.5e-05,6.2e-05,9.89999999999999e-05,9.89999999999999e-05,0.00010399999999900001,9.699999999999989e-05,0.7232000231742851,0,20,0,0,384,384,128.0,512.0,512.0,512.0
0.1,0.0,0.35000000000000003,0.2,0.05,0.25,0.003,6,7.299999999999997e-05,6.599999999999998e-05,0.00010299999999900001,9.49999999999999e-05,9.599999999999992e-05,0.00010399999999900001,0.7487000226974481,0,20,0,0,128,512,512.0,384.0,512.0,512.0
0.1,0.0,0.15000000000000002,0.05,0.15000000000000002,0.2,0.003,5,0.00010799999999900001,0.000100999999999,7.799999999999994e-05,6.5e-05,7.199999999999996e-05,6.799999999999997e-05,0.745150029659271,0,20,0,0,384,256,256.0,512.0,256.0,512.0
